"Timestamp","x","y","mood"
1586848636070,86,66,At Ease
1586885808406,106,10,Motivated
1586898014167,67,59,Pleasant
1586928634581,106,86,Chill
1586977239870,69,101,Calm
1587014476974,74,36,Energized
1587063618061,63,120,Relieved
1587149245520,50,23,Restless
1587190817163,94,54,Joyful
1587232133962,89,30,Lively
1587291855427,105,82,Chill
1587355952748,90,5,Upbeat
1587413012343,55,100,Drained
1587503408975,72,49,Pleasant
1587543607228,94,51,Joyful
1587566733532,85,63,At Ease
1587672188097,81,65,At Ease
1587813627761,92,50,Joyful
1587885605344,77,42,Energized
1587885806273,99,37,Optimistic
1587928212416,86,71,At Ease
1587963907226,103,43,Optimistic
1588015360378,115,85,Grateful
1588098185136,109,77,Content
1588100728355,64,72,Blessed